Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Afghanistan,AFG,..,..,8.91679399595736,7.70780060287773,7.12277329020889,6.88210294277301,7.58538233129798,9.50265278274007,9.89845089712639,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Albania,ALB,..,..,18.0220121712647,17.4832338190971,16.5032748907978,18.3019409890441,18.5157960517393,17.5902283762095,18.8874860107451,18.5574753953261,18.2900238397248,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Angola,AGO,..,28.7033821587261,16.1034126819228,14.8227193155102,14.184763136916,13.5426301621262,11.0020191367023,9.73251223441606,9.22377745371825,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Argentina,ARG,4.83851314669697,9.62260350188905,12.6636277012315,12.9528415127413,12.4529027558077,12.6109666067191,12.3365069418291,12.0972836411962,10.9396238604823,10.1312463031068,10.6493246735127,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Armenia,ARM,..,..,17.2194190490991,17.4916420766113,21.5862138752919,21.5991745525223,20.931220827141,21.2773752756378,20.7806533587524,20.8701039031814,22.1979542486085,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Australia,AUS,22.4766008022582,23.0768998077618,20.3503122216089,21.1170969777079,21.9581112368817,21.9088787823813,21.865491896164,22.2344726424899,22.0474576578938,23.1146946812654,23.3336747444538,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Austria,AUT,17.9810833338236,26.225079875854,25.4279852755305,25.92819764092,26.4151730942712,26.4178983110922,26.8261674155428,25.4191692326751,25.4236447885622,25.430348081384,25.5793267629718,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Azerbaijan,AZE,..,..,12.2247609538804,12.7786393685483,13.3883331614589,14.2125356482603,15.6031629275469,14.5555165725558,13.1640455061148,12.9712717874444,14.2563141979163,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,"Bahamas, The",BHS,13.8629185091598,10.6786875949518,13.0110208622256,12.0392571652442,11.6680001636009,11.3149140479319,12.8389516350719,14.0776468374062,14.7386871064872,14.0966050022654,16.1921377441306,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Bahrain,BHR,5.18737424547284,3.73277772071662,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Bangladesh,BGD,..,..,8.68592470557816,9.02456268993842,8.96241331564248,8.6353777373447,8.49834882820801,8.76502765162342,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Barbados,BRB,..,..,25.9529948899624,24.4711838177874,23.0711720761172,23.5162660066007,25.3918081442206,27.4944565838509,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Belarus,BLR,..,16.6247345026167,14.5090725642403,14.6629750334495,13.3549628478795,12.6977245264198,14.1730944654204,13.7882356123814,13.0190056104974,14.6725689698389,13.5817867849903,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Belgium,BEL,..,27.2747413568488,24.9366568094395,25.8241412500612,26.1908470779882,26.1345254492953,24.3545378057285,22.8423291844664,23.450221813425,23.9872603109252,22.7056385371542,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Belize,BLZ,21.4561776945606,17.8280752358632,22.971043263965,23.1159004806619,23.8021525924402,25.5418357715901,25.070481005337,26.0456506430624,26.3379133071981,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Bhutan,BTN,4.41394270965256,10.3646493437978,13.8352247016866,15.0542417161478,14.7226979126826,13.6986506986787,13.2620386193551,12.9794732034214,12.5415621434496,16.0175847960293,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Bolivia,BOL,7.23622455957132,12.330802904887,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Bosnia and Herzegovina,BIH,..,..,20.3056652821355,20.4775397851709,19.751544642443,19.7779015559579,19.934215698148,19.9514915061892,20.2593374095498,20.4407481319936,20.139519729121,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Botswana,BWA,27.5016129375315,..,23.6674545149458,27.1153596070791,25.6098922724084,25.7912323342787,24.6875130065177,20.8506734484199,22.145377682592,19.8401485426951,19.2411172087753,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Brazil,BRA,..,..,14.8598762321728,14.3169111233255,14.1332698351053,13.499158987723,13.6294057824755,13.6863553594782,13.615780876239,14.1786055897712,14.0263128687243,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Bulgaria,BGR,23.8331284450966,17.0388928606591,17.7491832428873,18.9711177865646,19.9966627966496,19.5930088555487,20.2900487798284,20.2613281385094,20.1008550738846,20.173382323872,20.3344990179278,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Burkina Faso,BFA,..,..,12.2194913583116,13.889962428562,14.9486419589637,13.6638275123408,13.2802007024398,14.1391533049498,15.2607212259008,15.1306831208577,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Cabo Verde,CPV,..,..,19.7309446019578,17.8819849854701,17.8393062484842,17.0527583740425,18.7780857967901,18.6038176552633,20.08675268685,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Cambodia,KHM,..,..,10.1546928691448,11.0824863489844,12.0788529602508,14.6266308888619,14.5828781049436,14.8258905524274,15.7887189326961,17.0520845477052,19.7320552661182,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Cameroon,CMR,9.76735861979995,..,..,11.7545941731807,12.0104146851817,12.7758704140547,12.6128073233581,12.0698865506137,12.2454523268794,12.7552804022225,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Canada,CAN,14.163120475269,14.9073416407909,11.8315383389776,11.6644273631038,11.6235045990299,11.8083790792206,12.3898109063213,12.496562633144,12.7154317836521,12.9136059169299,13.0087183435928,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Central African Republic,CAF,..,..,7.54040362417486,8.17237728051962,..,4.09850069590061,5.44899138512974,6.80758893701064,7.08124424919758,8.63983071970915,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..
