Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Scientific and technical journal articles,IP.JRN.ARTC.SC,Afghanistan,AFG,..,4,39.62,34.15,27.81,34.69,22.2,81.64,91.89,111.72,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Albania,ALB,..,22.34,146.82,165.75,162.65,180.39,177.8,185.87,149.54,180.36,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Algeria,DZA,..,387.13,2434.58,3062.32,3503.55,3630.37,4157.18,4527.57,5201.61,5231.44,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Andorra,AND,..,0,0.91,3.58,5.26,4.18,8.08,7.99,2.01,3.6,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Angola,AGO,..,7.17,17.78,22.38,23.85,33.48,31.59,39.97,55.5,30.12,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Antigua and Barbuda,ATG,..,0.25,0.85,2.08,2.72,1.95,3.3,7.64,5.2,5.63,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Argentina,ARG,..,4385.98,7733.75,7842.75,7994.13,8464.74,8370.01,8593.36,8704.3,8811.13,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Armenia,ARM,..,346.29,586.85,548.17,539.92,544.54,531.24,530.82,511.24,521.33,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Australia,AUS,..,23275.99,45026.57,46511.75,50340.27,52666.28,52945.01,53781.62,53428.79,53610.22,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Austria,AUT,..,6577.35,11767.52,12201.72,12404.51,12660.94,12911.21,12792.84,12850.61,12362.28,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Azerbaijan,AZE,..,154.76,638.11,679.27,470.64,395.23,451.68,593.56,736.71,761.43,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,"Bahamas, The",BHS,..,1.7,10.77,8.01,18.89,15.56,12.77,12.91,20.4,19.77,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Bahrain,BHR,..,82.53,179.46,160.77,241.31,213.26,180.26,220.98,259.34,321.51,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Bangladesh,BGD,..,440.02,1467.45,1990.1,1926.67,2336.1,2240.17,2645.7,2990.72,3135.08,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Barbados,BRB,..,27.96,35.53,48.49,40.58,47.55,54.96,53.46,48.84,37.97,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Belarus,BLR,..,1170.05,1097.17,1032.04,1099.19,1056.66,976.31,1008.55,1064.9,1179.81,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Belgium,BEL,..,9723.01,15806.72,16548.11,16779.18,17143.34,16724.04,16763.94,16278.27,15688.13,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Belize,BLZ,..,0.62,3.26,8.28,8.56,5.16,7.64,5.88,11.38,9.11,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Benin,BEN,..,43.48,132,143.66,184,183.15,187.97,175.83,209.42,227.74,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Bhutan,BTN,..,1.08,17.75,17.22,28.8,28.36,25.18,42.02,44.3,52.64,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Bolivia,BOL,..,38.82,84.29,85.78,89.9,91.35,86.82,92.4,88.05,102.8,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Bosnia and Herzegovina,BIH,..,74.59,539.74,540.99,486,482.98,568.22,568.38,724.8,703.79,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Botswana,BWA,..,109.79,163.72,157.49,171.81,207.35,160.83,252.46,234.51,280.57,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Brazil,BRA,..,12783.45,44353.74,48282.01,50497.9,52632.41,53064.56,55181.31,58022.38,60147.96,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Brunei Darussalam,BRN,..,37.73,79.35,113.35,122.8,190.14,177.77,230.04,214.24,293.91,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Bulgaria,BGR,..,1652.95,2475.9,2656.48,2685.04,2676.19,2558.33,2557.01,2808.03,3311.27,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Burkina Faso,BFA,..,48.02,155.77,206.78,176.43,196.18,229.5,220.41,216.88,251.99,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Burundi,BDI,..,1.65,9.52,10.65,14.78,14.16,13.44,13.72,13.19,21.12,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Cabo Verde,CPV,..,0.25,2.7,4.22,7.69,8.99,10.55,8.14,14.98,8.69,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Cambodia,KHM,..,12.15,72.35,76.5,86.96,94.57,109.36,120.62,120.26,145.74,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Cameroon,CMR,..,120.57,428.84,438.28,523.78,604.56,638.47,699.72,800.58,875.62,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Canada,CAN,..,33854.39,57594.93,59607.51,59902.46,60774.68,60533.24,60045,60214.84,59967.79,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Central African Republic,CAF,..,6.13,15.16,10.58,12.59,18.23,13.65,27.88,18.96,20.47,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Chad,TCD,..,3.04,7.78,5.86,5.55,7.66,12.36,12.07,16.35,15.45,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Chile,CHL,..,1557.36,4475.84,4967.15,5038.61,5806.96,6037.51,6639.23,6791.32,7121.74,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,China,CHN,..,53064.35,326770.84,329015.38,359274.07,390396.24,407974.61,438348.74,473438.51,528263.25,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Colombia,COL,..,534.68,3541.21,4124.71,4589.7,5173.66,5409.93,6292.29,6681.57,7195.02,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Comoros,COM,..,0.98,3.95,1.2,13.93,1.51,2.49,4.84,3.84,3.28,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,"Congo, Dem. Rep.",COD,..,13.01,45.5,71.43,80.77,119.87,124.13,109.19,135.94,148.72,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,"Congo, Rep.",COG,..,17.35,51.43,57.59,58.48,76.12,69.35,79.25,74.33,66.68,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Costa Rica,CRI,..,123.27,265.66,310.97,276.98,363.67,361.64,388.92,496.72,507.41,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Cote d'Ivoire,CIV,..,76.76,182.65,187.37,164.72,180.4,191.85,170.87,197.66,248.14,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Croatia,HRV,..,1711.69,4431.51,4294.02,4164.84,4014.91,4050.72,3966.92,4227.47,4276.9,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Cuba,CUB,..,947.6,1515.26,1521.79,1577.61,1467.78,1324.8,1125.62,1117.6,968.74,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Cyprus,CYP,..,153.51,758.88,799.38,963.42,915.53,935.15,1059.28,1193.38,1245.42,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Czech Republic,CZE,..,5372.85,13396.16,13812.95,14044.66,15432.41,16700.33,16604.51,16782.25,15576.6,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Denmark,DNK,..,7160.46,11405.13,12390.58,12899.7,14145.01,14214.95,14160.25,14345.19,13978.8,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Djibouti,DJI,..,2,4.24,7.42,6.84,7.51,5.71,4.19,5.13,6.16,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Dominica,DMA,..,0,6.94,11.84,11.58,10.13,10.87,11.8,12.5,12.6,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Dominican Republic,DOM,..,13.3,19.34,25.93,39.5,42.4,34.62,34.55,54.06,49.26,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Ecuador,ECU,..,75.95,170.21,248.53,265.36,409.13,668.72,1162.24,1604.01,2142.19,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,"Egypt, Arab Rep.",EGY,..,2704.79,7332.48,8345.18,8615.9,9171.76,9820.47,11109.22,11392.95,13326.67,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,El Salvador,SLV,..,2.95,17.51,19.17,16.39,19.94,23.71,28.8,31.65,45.44,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Equatorial Guinea,GNQ,..,0,2.01,2.32,2.31,2.36,4.28,4.99,3.33,2.6,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Eritrea,ERI,..,4.58,12.93,6.25,10.52,7.45,10.67,8.7,13.65,21.37,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Estonia,EST,..,459.56,1406.07,1501.17,1463.31,1690.56,1578.23,1555.17,1559,1414.72,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Eswatini,SWZ,..,6.75,22.06,18.41,21.04,14.25,20.08,21.26,33.12,34.05,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Ethiopia,ETH,..,162.04,505.4,649.65,787.09,1026.77,1041.68,1172.08,1657.99,1994.44,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Fiji,FJI,..,27.32,64.93,64.55,81.77,116.45,99.52,162.66,135.47,139.78,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Finland,FIN,..,7442.32,10307.81,10520.43,10849.07,11314.67,10942.46,11106.38,10768.81,10598.94,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,France,FRA,..,49691.91,70612.25,72628.77,73631.77,73299.07,71925.79,71028.47,70100.94,66352.18,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Gabon,GAB,..,23.61,57.18,50.85,54.72,59.99,63.66,60.97,62.92,63.78,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,"Gambia, The",GMB,..,27.79,33.81,36.78,46.59,47.02,43.15,48.02,47.17,33.83,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Georgia,GEO,..,256.84,472.67,442.4,463.93,472.09,494.82,620.93,547.49,550.41,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Germany,DEU,..,69002.63,100768.62,105433.18,105730.82,108473.69,106452.92,108295.59,107803.17,104396.12,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Ghana,GHA,..,135.62,424.26,526.68,591.89,645.63,782.83,1009.55,1074.54,1275.99,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Greece,GRC,..,5292.2,11958.26,11924.42,11881.18,11664.94,11237.15,11156.77,10986.92,10906.99,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Greenland,GRL,..,11.91,18.64,25.44,31.74,23.77,29.92,23.09,24.29,30,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Grenada,GRD,..,1.04,25.68,30.47,35.16,57.36,33.25,36.13,53.06,46.17,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Guatemala,GTM,..,24.52,44.8,67.74,73.86,65.67,83.29,86.16,103.77,99.89,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Guinea,GIN,..,3.14,11.4,11.73,10.51,22.01,29.96,38.44,38.02,27.84,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Guinea-Bissau,GNB,..,1.48,10.38,12.8,12.09,17.69,9.71,11.19,16.33,15.01,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Guyana,GUY,..,10.27,11.15,13.39,13.74,13.11,9.85,13.07,15.74,13.7,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Haiti,HTI,..,5.21,18.15,16.54,30.38,38.08,32.87,32.62,41.52,29.18,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Honduras,HND,..,11.37,19.09,26.74,19.55,26.87,30.85,33.38,43.62,45.1,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Hungary,HUN,..,4399.5,6430.05,6519.56,6299.56,6728.01,6533.46,6473.35,6645.69,6700.92,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Iceland,ISL,..,214.51,544.73,632.94,582.95,596.7,608.6,662.79,629.31,680.89,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,India,IND,..,21770.72,74142.9,80493.3,86348.11,96425.77,101813.08,112167.34,121631.31,135787.79,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Indonesia,IDN,..,395.72,1901.49,2088.11,2825.09,3390.49,4623.15,7354.4,14579.71,26947.57,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,"Iran, Islamic Rep.",IRN,..,1567.77,31514.73,32103.33,33171.3,36463.16,37229.52,42855.86,46727.38,48305.64,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Iraq,IRQ,..,91.98,639.74,825.53,839.22,865.95,894.35,1235.96,2259.36,6073.39,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Ireland,IRL,..,2661.9,7319.96,7079.47,7127.84,7194.18,6847.04,7044.16,7108.63,7174.11,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Israel,ISR,..,9245.52,11248.86,11622.78,11395.49,12112.79,12048.66,12244.1,12270.41,12234.69,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Italy,ITA,..,36055.55,60453.21,64351.57,67591.55,69720.32,70519.39,70534.27,71485.25,71240.28,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Jamaica,JAM,..,106.93,202.75,210.75,202.85,209.81,153.19,160.88,166.37,163.85,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Japan,JPN,..,97047.6,111258.23,109643.54,108995.98,105855.88,101306.59,101297.3,101084.19,98792.5,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Jordan,JOR,..,538.64,1438.91,1411.59,1437.09,1411.34,1454.47,1710.6,1962.14,2627.29,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Kazakhstan,KAZ,..,190.17,380.93,445.67,628.87,934.87,1171.06,1601.18,1958.82,2367.46,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Kenya,KEN,..,356.83,799.26,789.97,874.67,949.02,961.87,1069.28,1179.58,1246.76,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,Kiribati,KIR,..,0,0,1,1.05,1.94,1.48,2.17,2.54,0.62,..,..
Scientific and technical journal articles,IP.JRN.ARTC.SC,"Korea, Dem. People’s Rep.",PRK,..,3.61,7.52,18.18,9.23,17.55,38.53,42.31,58.71,87.42,..,..
