Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Algeria,DZA,..,..,..,..,..,..,..,..,819.3427,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Angola,AGO,..,..,47.48012,..,..,..,..,18.81599,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Argentina,ARG,..,716.55644,1180.67303,1203.37119,1198.26439,1206.94193,1230.53948,1259.64008,1192.22598,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Australia,AUS,..,3475.32527,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Austria,AUT,..,..,4390.34667,4669.44719,4724.72032,4947.87477,5019.43848,5224.35435,5387.92896,5733.07565,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Bahrain,BHR,..,..,..,..,..,368.99126,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Belgium,BEL,..,2970.19422,3875.64397,4113.26364,4155.91094,4528.91488,4711.04559,4780.51719,4729.55358,5023.26301,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Bolivia,BOL,..,71.2736,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Bosnia and Herzegovina,BIH,..,..,..,160.13994,233.86738,292.38061,365.22839,419.99063,485.42082,471.2501,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Botswana,BWA,..,..,..,172.43949,185.20781,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Brazil,BRA,..,295.23457,737.71786,788.48979,838.47208,887.67844,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
