Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,0.54243,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Angola,AGO,..,..,..,..,..,..,..,0.03229,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Argentina,ARG,..,0.43884,0.56597,0.63491,0.61849,0.59396,0.62262,0.55815,0.54152,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Armenia,ARM,..,0.19106,0.27014,0.23853,0.22216,0.24151,0.25002,0.23305,0.22788,0.18913,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Australia,AUS,..,1.57558,2.23765,..,2.1787,..,1.91943,..,1.87372,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Austria,AUT,..,1.88602,2.66868,2.91472,2.95492,3.08429,3.04979,3.12588,3.05212,3.17177,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Azerbaijan,AZE,..,0.336,0.21084,0.21427,0.20969,0.20978,0.22232,0.20637,0.18468,0.18484,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bahrain,BHR,..,..,..,..,..,0.10116,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Belarus,BLR,..,0.7221,0.6776,0.64603,0.65191,0.50548,0.49999,0.50063,0.58411,0.60817,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Belgium,BEL,..,1.92236,2.15533,2.27334,2.33393,2.38729,2.46123,2.55595,2.70234,2.82119,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
